Job Title,,,Key Skills,Role Category,Location,Functional Area,Industry,Role
 Linux Administrator Lead,,, qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,Admin/Maintenance/Security/Datawarehousing,"Gurgaon,Gurgaon","IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator
 Hiring for Tech Pm/scrum Master for Hyderabad Location,,, Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest,Project Management,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software
 Assistant Professor (Grade I)-Theoretical Computer Science,,,vide,,Delhi,"Teaching , Education , Training , Counselling","Education, Teaching, Training",
 US Based Financial Company Looking For Java API Engineers For HYD,,, Java| java api| Banking| j2ee| API| finance| core java| microservices,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Strong Partner Ecosystem,,, GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead
 Wordpress Web Developer,,,vide,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Senior Executive- Contract Logistics- Bom WP-A,,, Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations,Logistics,Mumbai,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Logistics Executive
 Accounts Manager,,, filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally,Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement",Accounts Executive/Accountant
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb,,, Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp,Voice,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 nutanix sme ,,, Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving,Technical Support,Bengaluru,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager
 System Architect - 3g/4g Wireless Network Architecture & Migration,,, 4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE,Programming & Design,Mumbai,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban",,,arm processor|c|device drivers|embedded linux|linux kernel|ipc,Programming & Design," Hyderabad, Bengaluru","IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer
 Java Developer,,, JMS| Core Java| Sonar| Weblogic| XML| J2Ee| SVN| Spring| Oracle 11G| SQL,,Pune,Other,Other,Other
 Regional Representative,,, market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,Institutional Sales,Noida,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager
 Hiring For Record To Report,,, fixed assets| accounts payable| record to report| general accounting| general ledger,Voice,"Gurgaon,Noida","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Product & Regional Sales Manager,,, Team management| Regional sales| Management,Retail Sales,Mumbai,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Regional Manager
 Senior Manager/associate Director - Mandarin,,, Commercial Activities| Commercial Sales| Online Sales| Senior Management| Budgeting| Strategy Implementation| Marketing| E - commerce,Senior Management,"Delhi,Gurgaon","Sales , Retail , Business Development","Internet, Ecommerce",Head / VP/ GM/ National Manager After Sales
 ODI Developer/lead ODI Developer - RACI,,, ODI| Matrix,Programming & Design,Mumbai,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
 UI Developer,,, javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Assistant Manager ,,, Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing,Voice,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical)
 Android Developer,,, android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad,,, cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel,Voice,Ahmedabad,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 iOS Developer,,, bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation,Programming & Design,"Chandigarh,Chandigarh",IT Software - Mobile,"IT-Software, Software Services",Software Developer
 F&A Black belt - Process Excellence Lead,,, Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC,Back Office/Web/Transaction Processing,"Chennai,Gurgaon,Bengaluru","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Team Leader -(NonTechnical)
 IT - Head (preferably from an NGO),,, networking| information technology| network administration| technical support| support services| license management| disaster recovery| data security| it training| it software,,Delhi NCR,Other,"NGO, Social Services, Regulators, Industry Associations",Other
 Digital Content Producer For largest Media House,,, Automobile| Digital Content| Content Development| Production| Web Content Writing,Content Development,"Bengaluru,Hyderabad","Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer
 Manager Holidays,,, Tourism| target achievement| negotiation skills| revenue management| Tour Packages,Retail Sales,Mumbai,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical",Sales/Business Development Manager
 Backend Developer,,, PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer
 JUNIOR BIG DATA ANALYST IN,,,vide,Operations,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Business/EDP Analyst
 Chief Engineer,,, Chief Engineer| Hospitality| HVAC| Maintenance| Water Treatment| Energy Conservation| Capital Expenditure,,Hyderabad,Top Management,"Travel , Hotels , Restaurants , Airlines , Railways",CEO/MD/Director
,,,Marketing|Executive|Marketing|Marketing|Executive|Direct|Executives|Marketing|Executive|Executive|Executive|Executive|Marketing|Executive|Marketing|Executive|direct|marketing|executive|Marketing|Executive|Marketing|Executive|Executive|Marketing|Executive|direct|Executive|Direct|Marketing|Executive|Executive|Direct|Marketing|Marketing|Executive,,,,,
 Oracle DBA Consultant - Data Guard/rac Modules,,, WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC,Admin/Maintenance/Security/Datawarehousing,Mumbai,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA
 Global HR Operations Analyst,,, Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management,HR/ Recruitment / IR,Gurgaon,"HR , Recruitment , Administration , IR","Industrial Products, Heavy Machinery",HR Executive
,,,Manager|Transformation|Manager|Transformation|Manager|Manager|Manager|Manager|Transformation|Manager|Transformation|Manager|Manager|Transformation|Manager|Manager|Transformation|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Transformation|Manager|Transformation|Manager|Manager|Manager|Transformation|Manager|Transformation|Manager|Manager|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Transformation,,,,,
 Compiler- Support Engineer,,, Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer
 Key Accounts Manager,,,vide,Advertising,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Telcom, ISP",Client Servicing/Key Account Manager
 Head Sales- Coworking Company,,, Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing,Senior Management,Delhi NCR,"Sales , Retail , Business Development","Real Estate, Property",Head/VP/GM/National Manager -Sales
" Clubhouse Manager, Facility Manager,",,, Facility Management| facility services,Health & Fitness,Bengaluru,Beauty / Fitness / Spa Services,Facility Management,Centre Head / Branch Head / Club Manager
 IP DRG / Surgery / ED / Denials Coders,,, sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed,Voice,"Chennai,Hyderabad,Trivandrum","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Sales Manager - Education Sales,,, Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding,Retail Sales,Gurgaon,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager
 HR Associate,,, ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,Hyderabad,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Executive
 Manager / Sr Manager - Digital Ad Sales - Ecommerce,,, revenue generation| marketing| ad sales| web technologies,Corporate Sales,"Delhi NCR,Mumbai","Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager
 Architect Junior/ Middle level,,, co ordination| team management| drafting| loans| online| coordination| quality,Architectural Services,Noida,"Architecture , Interior Design","BPO, Call Centre, ITeS",Project Architect
 php developer,,, English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time,Programming & Design,Gurgaon,IT Software - Other,"Recruitment, Staffing",Software Developer
 Openstack Engineer / Openstack Admin with Ceph Storage,,, cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst
 Sr. Software Engineer,,, National| Branch| Vice President| J2Ee| Software,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Software Developer
 Software Engineering- Mentor,,, Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment,Programming & Design,Bengaluru,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer
 Application Tester,,, Performance Testing| Software Testing| Manual Testing| Quality Testing,Programming & Design,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer
 Credit Control - Manager / Asst. Manager,,, Pivot Table| Credit Analysis| Tally ERP| Accounting| VLOOKUP| Finance| Lookup| Advanced Excel| HLOOKUP| Credit Control,,Pune,Other,"Travel , Hotels , Restaurants , Airlines , Railways",Other
 Night Shift - Non Voice / Web Chat - BPO,,, international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher,Voice,"Ahmedabad,Gandhinagar,Vadodara","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Sales Executive,,, Innovative| Aggressive,Front Office/Customer Care,"Bengaluru,Hyderabad (1) ,Gurgaon,...More","Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager
 Design Engineer Mechanical,,, Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation,Engineering Design,Kolkata,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",Design Engineer
 Android developer,,, design| android| erp| software| mvc| quality,Programming & Design,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Technical Writer,,, Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support,QA/Testing/Documentation,Gurgaon,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Technical Writer
" Pro-Engineer , Matlab ,Ansys",,, Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals,Engineering Design,Hyderabad,"Engineering Design , R&D","Recruitment, Staffing",Design Engineer
 Business Development Executive - Kolkata,,, Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision,Retail Sales,Kolkata,"Sales , Retail , Business Development","Textiles, Garments, Accessories",Sales/Business Development Manager
 Accountant - UK Based Accounting,,, Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns,Accounts,Ahmedabad,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
 Opportunity For Current Account RM ||bank || Delhi,,, Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account,Retail Sales,Delhi NCR,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager
 PHP Developer,,, XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax,Programming & Design,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Senior Engineering Maintenance Manager For Knitting and ZLD System,,, zld| Engineering Management| knitting,Production/Manufacturing/Maintenance,Bengaluru,"Production , Manufacturing , Maintenance","Textiles, Garments, Accessories",Engineering Manager
 Accounting Specialist,,, Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Executive/Accountant
 Manager (Service Operation),,, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,Chennai,"HR , Recruitment , Administration , IR","Construction, Engineering, Cement, Metals",Training Manager
 DevOps Engineer Intern,,, Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 PHP Developer (wordpress & Woo Commerce/shopify / Magento),,, C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax,Programming & Design,Ahmedabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Java Developer,,, CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery,Programming & Design,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Sr. Manager- Business Development,,, Business Development Management| Bd| Marketing| business development| Projects| business development manager| bdm| Tendering| Proposal,Corporate Sales,Ahmedabad,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager
 Test Principal Engineer,,, Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys,Programming & Design,Bengaluru,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer
 Graphic Designer,,, Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive,Creative,Ahmedabad,"Design , Creative , User Experience","Architecture, Interior Design",Graphic Designer
 Business Development Executive,,, Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost,Corporate Sales,Bengaluru,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer
 Animation Resident,,, Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior,Advertising,Delhi,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Client Servicing Executive
Enterprise Business Development Representative,,,market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales,Channel Sales,Bengaluru,"Sales , Retail , Business Development",IT-Software / Software Services,Sales Executive / Officer
 Dot Net Developer,,, jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming,Programming & Design,"Chennai,Gurgaon","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
" Urgent Opening for ""US Staffing Professionals"" - Noida",,, technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing,HR/ Recruitment / IR,"Delhi NCR,Noida","HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
 Front Office Executive-Noida,,, Front Office Executive,,Noida,"Executive Assistant , Front Office , Data Entry","Recruitment, Staffing",Receptionist
 Project Executive/coordinator,,, Project Administration| Coordination,Sales Support,Delhi (Bhikaji Cama) ,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Coordinator
 Sterling OMS Architect,,, Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce,System Design/Implementation/ERP/CRM,Chennai,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Solution Architect / Enterprise Architect
 Dot net Developer,,, analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,Programming & Design,"Gurgaon,Gurgaon","IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
 Centreless Grinding Operator ,,, NCTVT,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Workman/Foreman/Technician
 PHP Developer Jobs In Gurgaon - Team Lead - PHP,,, Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services,Programming & Design,Gurgaon,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
 Sales Lead,,, Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer
 Clerk - Garh Shankar (Vacancy-1),,,vide,,Chandigarh,"Executive Assistant , Front Office , Data Entry","Government, Defence",
 Senior Design Engineer - Manufacturing,,, AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks,Production/Manufacturing/Maintenance,Pune,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Design Engineer/Manager
 Software Engineer Automation - Industrial Automation Job In Bangalore,,, Automation Engineer,Engineering Design,Bengaluru,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Technical Lead/Project Lead
 Looking For Assistant Manager - Healthcare (US Visa is Must),,, Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM,Back Office/Web/Transaction Processing,Chennai,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Team Leader -(NonTechnical)
 Senior Accounts Executive,,,vide,Accounts,Kolkata,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant
 QA for Voice Process (LE-0097-N1C),,, Voice process| qaqc| Writing| Process operations| Verbal,Quality,Pune,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Quality Assurance/Quality Control Executive
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon",,, Patient Care| Nursing| People Orientation| Report Generation| Service Quality| Disaster Management| Customer Care| Medical| Process Orientation,,Delhi NCR,Other,"Medical, Healthcare, Hospitals",Other
,,,vide,,,,,
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,,, Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,Analytics & BI,Gurgaon,Analytics & Business Intelligence,"IT-Software, Software Services",Analytics Manager
 Executive Medical Coder,,, molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech,Other,"Chennai,Thanjavur,Karur,Salem,Hosur,Coimbatore","ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Trainee
 Account Assistant,,, accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation,Accounts,Pune,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Accounts Executive/Accountant
 Informatica Faculty Job Requirement in Hyderabad,,, Informatica Power Center| Informatica,Programming & Design,Hyderabad,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer
 SEO Expert/ Digital Marketing Gurgaon,,, digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing,Online/Digital Marketing,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Search Engine Optimisation /SEO Specialist
 Head Engineering,,, Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who,Production/Manufacturing/Maintenance,Delhi,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Engineering Manager
